"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GR000016754","HERAKLION, GR","2021-01-01","0.00",,"61","68",
"GR000016754","HERAKLION, GR","2021-01-02","0.00",,"60","68","54"
"GR000016754","HERAKLION, GR","2021-01-03","0.00",,"62","70",
"GR000016754","HERAKLION, GR","2021-01-04","0.00",,"63",,"59"
"GR000016754","HERAKLION, GR","2021-01-05","0.00",,"58","66",
"GR000016754","HERAKLION, GR","2021-01-06","0.00",,"55","62","48"
"GR000016754","HERAKLION, GR","2021-01-07","0.00",,"56","63","50"
"GR000016754","HERAKLION, GR","2021-01-08","0.00",,"61",,"52"
"GR000016754","HERAKLION, GR","2021-01-09","0.00",,"65",,"60"
"GR000016754","HERAKLION, GR","2021-01-10","0.00",,"69",,"63"
"GR000016754","HERAKLION, GR","2021-01-11","0.00",,"71","77",
"GR000016754","HERAKLION, GR","2021-01-12","0.00",,"65","68",
"GR000016754","HERAKLION, GR","2021-01-13","0.00",,"58","62",
"GR000016754","HERAKLION, GR","2021-01-14","0.00",,"53",,
"GR000016754","HERAKLION, GR","2021-01-15","0.03",,"54",,"46"
"GR000016754","HERAKLION, GR","2021-01-16","0.20",,"54","61","50"
"GR000016754","HERAKLION, GR","2021-01-17","0.72","0.8","47",,
"GR000016754","HERAKLION, GR","2021-01-18","0.20",,"45","47","40"
"GR000016754","HERAKLION, GR","2021-01-19","0.65",,"46",,
"GR000016754","HERAKLION, GR","2021-01-20","0.08",,"50",,
"GR000016754","HERAKLION, GR","2021-01-21","0.00",,"53",,"45"
"GR000016754","HERAKLION, GR","2021-01-22","0.00",,"54",,
"GR000016754","HERAKLION, GR","2021-01-23","0.00",,"57","62","50"
"GR000016754","HERAKLION, GR","2021-01-24","0.00",,"60","64",
"GR000016754","HERAKLION, GR","2021-01-25","0.00",,"62",,
"GR000016754","HERAKLION, GR","2021-01-26","0.00",,"61",,
"GR000016754","HERAKLION, GR","2021-01-27","0.41",,"52",,
"GR000016754","HERAKLION, GR","2021-01-28","0.14",,"49",,
"GR000016754","HERAKLION, GR","2021-01-29","0.02",,"53","61",
"GR000016754","HERAKLION, GR","2021-01-30","0.00",,"62","68",
"GR000016754","HERAKLION, GR","2021-01-31","0.00",,"59","70",
"GR000016754","HERAKLION, GR","2021-02-01","0.00",,"63",,
"GR000016754","HERAKLION, GR","2021-02-02","0.00",,"58","63","54"
"GR000016754","HERAKLION, GR","2021-02-03","0.00",,"57","63",
"GR000016754","HERAKLION, GR","2021-02-04","0.00",,"57","64","49"
"GR000016754","HERAKLION, GR","2021-02-05","0.00",,"56","63",
"GR000016754","HERAKLION, GR","2021-02-06","0.00",,"59",,"49"
"GR000016754","HERAKLION, GR","2021-02-07","0.00",,"63",,"52"
"GR000016754","HERAKLION, GR","2021-02-08","0.00",,"64","72",
"GR000016754","HERAKLION, GR","2021-02-09","0.00",,"60",,"54"
"GR000016754","HERAKLION, GR","2021-02-10","0.00",,"59",,"55"
"GR000016754","HERAKLION, GR","2021-02-13",,,"59",,
"GR000016754","HERAKLION, GR","2021-02-14","0.00",,"58",,
"GR000016754","HERAKLION, GR","2021-02-15","0.67",,"47",,
"GR000016754","HERAKLION, GR","2021-02-16","0.71",,"44","47",
"GR000016754","HERAKLION, GR","2021-02-17","0.34","0.4","44","47","41"
"GR000016754","HERAKLION, GR","2021-02-18","0.08",,"49","59",
"GR000016754","HERAKLION, GR","2021-02-19","0.00",,"52",,
"GR000016754","HERAKLION, GR","2021-02-21",,,"52","57",
"GR000016754","HERAKLION, GR","2021-02-22","0.49","0.4","55",,
"GR000016754","HERAKLION, GR","2021-02-23","0.00",,"54","61",
"GR000016754","HERAKLION, GR","2021-02-24","0.00",,"58","64","48"
"GR000016754","HERAKLION, GR","2021-02-25","0.00",,"57",,
"GR000016754","HERAKLION, GR","2021-02-26","0.00",,"56","61",
"GR000016754","HERAKLION, GR","2021-02-27","0.00",,"55",,"46"
"GR000016754","HERAKLION, GR","2021-02-28","0.00",,"57","63",
"GR000016754","HERAKLION, GR","2021-03-01","0.00",,"55","58","53"
"GR000016754","HERAKLION, GR","2021-03-02","0.00",,"54","58",
"GR000016754","HERAKLION, GR","2021-03-03","0.04",,"55","58",
"GR000016754","HERAKLION, GR","2021-03-04","0.00",,"56","62",
"GR000016754","HERAKLION, GR","2021-03-05","0.00",,"55",,"42"
"GR000016754","HERAKLION, GR","2021-03-06","0.00",,"59","72",
"GR000016754","HERAKLION, GR","2021-03-07","0.00",,"57",,"50"
"GR000016754","HERAKLION, GR","2021-03-08","0.00",,"55",,"51"
"GR000016754","HERAKLION, GR","2021-03-09","0.06",,"58","64","50"
"GR000016754","HERAKLION, GR","2021-03-10","0.00",,"60","65",
"GR000016754","HERAKLION, GR","2021-03-11","0.00",,"56",,"52"
"GR000016754","HERAKLION, GR","2021-03-12","0.02",,"54","57",
"GR000016754","HERAKLION, GR","2021-03-13","0.00",,"55","63","46"
"GR000016754","HERAKLION, GR","2021-03-14","0.00",,"58","61","53"
"GR000016754","HERAKLION, GR","2021-03-15","0.02",,"59","69","52"
"GR000016754","HERAKLION, GR","2021-03-16","0.00",,"56","65",
"GR000016754","HERAKLION, GR","2021-03-17","0.14",,"55",,"50"
"GR000016754","HERAKLION, GR","2021-03-18","0.00",,"54",,
"GR000016754","HERAKLION, GR","2021-03-19","0.00",,"58","68","49"
"GR000016754","HERAKLION, GR","2021-03-20","0.29",,"62","69",
"GR000016754","HERAKLION, GR","2021-03-21","0.00",,"67",,"59"
"GR000016754","HERAKLION, GR","2021-03-22","0.00",,"61","67",
"GR000016754","HERAKLION, GR","2021-03-23","0.04",,"55","63",
"GR000016754","HERAKLION, GR","2021-03-24","1.09",,"50",,
"GR000016754","HERAKLION, GR","2021-03-25","0.16",,"46",,
"GR000016754","HERAKLION, GR","2021-03-26","0.18",,"51",,"43"
"GR000016754","HERAKLION, GR","2021-03-27","0.00",,"54",,"45"
"GR000016754","HERAKLION, GR","2021-03-28","0.00",,"54",,"44"
"GR000016754","HERAKLION, GR","2021-03-29","0.00",,"55",,
